packets/s 	 672880 	 bytes/s 	 4791
packets/s 	 683976 	 bytes/s 	 4924
packets/s 	 684024 	 bytes/s 	 4876
packets/s 	 686532 	 bytes/s 	 4916
packets/s 	 697404 	 bytes/s 	 5026
packets/s 	 697408 	 bytes/s 	 4970
packets/s 	 699597 	 bytes/s 	 5007
packets/s 	 711187 	 bytes/s 	 5125
packets/s 	 711200 	 bytes/s 	 5061
packets/s 	 713208 	 bytes/s 	 5111
packets/s 	 724360 	 bytes/s 	 5203
packets/s 	 724291 	 bytes/s 	 5204
packets/s 	 726381 	 bytes/s 	 5171
packets/s 	 737673 	 bytes/s 	 5287
packets/s 	 737927 	 bytes/s 	 5284
packets/s 	 740226 	 bytes/s 	 5318
packets/s 	 751731 	 bytes/s 	 5403
packets/s 	 751787 	 bytes/s 	 5382
packets/s 	 753760 	 bytes/s 	 5372
packets/s 	 765071 	 bytes/s 	 5476
packets/s 	 765019 	 bytes/s 	 5487
packets/s 	 767046 	 bytes/s 	 5490
packets/s 	 778416 	 bytes/s 	 5575
packets/s 	 778368 	 bytes/s 	 5576
packets/s 	 780512 	 bytes/s 	 5591
packets/s 	 791920 	 bytes/s 	 5672
packets/s 	 791920 	 bytes/s 	 5673
packets/s 	 793824 	 bytes/s 	 5687
packets/s 	 804792 	 bytes/s 	 5769
packets/s 	 804781 	 bytes/s 	 5762
packets/s 	 806555 	 bytes/s 	 5776
packets/s 	 818383 	 bytes/s 	 5888
packets/s 	 818321 	 bytes/s 	 5869
packets/s 	 820418 	 bytes/s 	 5860
packets/s 	 831992 	 bytes/s 	 5943
packets/s 	 831910 	 bytes/s 	 5962
packets/s 	 833824 	 bytes/s 	 5976
packets/s 	 845166 	 bytes/s 	 6077
packets/s 	 845233 	 bytes/s 	 6045
packets/s 	 847056 	 bytes/s 	 6052
packets/s 	 858548 	 bytes/s 	 6154
packets/s 	 858743 	 bytes/s 	 6176
packets/s 	 860509 	 bytes/s 	 6149
packets/s 	 871980 	 bytes/s 	 6232
packets/s 	 871987 	 bytes/s 	 6255
packets/s 	 873742 	 bytes/s 	 6262
packets/s 	 885436 	 bytes/s 	 6330
packets/s 	 885436 	 bytes/s 	 6372
packets/s 	 887187 	 bytes/s 	 6325
packets/s 	 898971 	 bytes/s 	 6439
packets/s 	 898732 	 bytes/s 	 6453
packets/s 	 900481 	 bytes/s 	 6443
packets/s 	 911946 	 bytes/s 	 6551
packets/s 	 911975 	 bytes/s 	 6510
packets/s 	 913765 	 bytes/s 	 6578
packets/s 	 925587 	 bytes/s 	 6598
packets/s 	 925681 	 bytes/s 	 6649
packets/s 	 927439 	 bytes/s 	 6631
packets/s 	 939427 	 bytes/s 	 6741
packets/s 	 939399 	 bytes/s 	 6714
packets/s 	 941022 	 bytes/s 	 6738
packets/s 	 952032 	 bytes/s 	 6855
packets/s 	 952006 	 bytes/s 	 6791
packets/s 	 953705 	 bytes/s 	 6827
packets/s 	 965976 	 bytes/s 	 6951
packets/s 	 965873 	 bytes/s 	 6891
packets/s 	 967520 	 bytes/s 	 6927
packets/s 	 979430 	 bytes/s 	 7036
packets/s 	 979162 	 bytes/s 	 7004
packets/s 	 980897 	 bytes/s 	 7018
packets/s 	 991999 	 bytes/s 	 7105
packets/s 	 991973 	 bytes/s 	 7120
packets/s 	 993632 	 bytes/s 	 7133
packets/s 	 1005651 	 bytes/s 	 7174
packets/s 	 1005840 	 bytes/s 	 7211
packets/s 	 1007904 	 bytes/s 	 7216
packets/s 	 1019192 	 bytes/s 	 7299
packets/s 	 1019038 	 bytes/s 	 7307
packets/s 	 1020704 	 bytes/s 	 7322
packets/s 	 1032004 	 bytes/s 	 7398
packets/s 	 1031985 	 bytes/s 	 7409
packets/s 	 1033787 	 bytes/s 	 7403
packets/s 	 1046202 	 bytes/s 	 7494
packets/s 	 1046238 	 bytes/s 	 7495
packets/s 	 1047982 	 bytes/s 	 7508
packets/s 	 1059825 	 bytes/s 	 7594
packets/s 	 1059382 	 bytes/s 	 7577
packets/s 	 1061158 	 bytes/s 	 7596
packets/s 	 1072309 	 bytes/s 	 7684
packets/s 	 1072338 	 bytes/s 	 7663
packets/s 	 1074321 	 bytes/s 	 7698
packets/s 	 1087328 	 bytes/s 	 7790
packets/s 	 1087389 	 bytes/s 	 7787
packets/s 	 1089260 	 bytes/s 	 7825
packets/s 	 1100306 	 bytes/s 	 7889
packets/s 	 1100199 	 bytes/s 	 7860
packets/s 	 1102206 	 bytes/s 	 7891
packets/s 	 1114001 	 bytes/s 	 7978
packets/s 	 1113713 	 bytes/s 	 8011
packets/s 	 1115384 	 bytes/s 	 7976
packets/s 	 1127541 	 bytes/s 	 8060
packets/s 	 1127737 	 bytes/s 	 8088
packets/s 	 1129432 	 bytes/s 	 8097
packets/s 	 1140829 	 bytes/s 	 8158
packets/s 	 1140797 	 bytes/s 	 8183
packets/s 	 1142489 	 bytes/s 	 8189
packets/s 	 1154093 	 bytes/s 	 8258
packets/s 	 1153953 	 bytes/s 	 8293
packets/s 	 1155174 	 bytes/s 	 8243
packets/s 	 1167748 	 bytes/s 	 8382
packets/s 	 1167733 	 bytes/s 	 8346
packets/s 	 1169265 	 bytes/s 	 8378
packets/s 	 1180746 	 bytes/s 	 8461
packets/s 	 1180170 	 bytes/s 	 8454
packets/s 	 1182197 	 bytes/s 	 8467
packets/s 	 1193800 	 bytes/s 	 8565
packets/s 	 1193503 	 bytes/s 	 8537
packets/s 	 1195200 	 bytes/s 	 8593
packets/s 	 1206866 	 bytes/s 	 8616
packets/s 	 1206995 	 bytes/s 	 8660
packets/s 	 1206010 	 bytes/s 	 8624
packets/s 	 1218596 	 bytes/s 	 8732
packets/s 	 1218581 	 bytes/s 	 8758
packets/s 	 1220647 	 bytes/s 	 8714
packets/s 	 1230958 	 bytes/s 	 8820
packets/s 	 1230935 	 bytes/s 	 8835
packets/s 	 1233032 	 bytes/s 	 8821
packets/s 	 1242834 	 bytes/s 	 8899
packets/s 	 1243046 	 bytes/s 	 8903
packets/s 	 1243903 	 bytes/s 	 8945
packets/s 	 1255618 	 bytes/s 	 8972
packets/s 	 1255339 	 bytes/s 	 8988
packets/s 	 1256256 	 bytes/s 	 8993
